height,grid position,latlon,pic,north neighbor,south neighbor,east neighbor,west neighbor,up neighbor,down neighbor,future neighbor,past neighbor,[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 32]","[39.6428244, -82.817523]",[],"[50, 32]","[52, 32]","[51, 33]","[51, 31]","['Links/Photos_02Aug2018_67', [25, 16]]",[],"['Links/Photos_20AUG2018_33', '[51, 32]']","['Links/Photos_01JUN2018_33', '[51, 32]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 33]","[39.6428244, -82.8176271]",[],"[50, 33]","[52, 33]","[51, 34]","[51, 32]","['Links/Photos_02Aug2018_67', [25, 16]]",[],"['Links/Photos_20AUG2018_33', '[51, 33]']","['Links/Photos_01JUN2018_33', '[51, 33]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 34]","[39.6428244, -82.8177313]",[],"[50, 34]","[52, 34]","[51, 35]","[51, 33]","['Links/Photos_02Aug2018_67', [25, 17]]",[],"['Links/Photos_20AUG2018_33', '[51, 34]']","['Links/Photos_01JUN2018_33', '[51, 34]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 35]","[39.6428244, -82.8178355]",[],"[50, 35]","[52, 35]","[51, 36]","[51, 34]","['Links/Photos_02Aug2018_67', [25, 17]]",[],"['Links/Photos_20AUG2018_33', '[51, 35]']","['Links/Photos_01JUN2018_33', '[51, 35]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 36]","[39.6428244, -82.8179397]",[],"[50, 36]","[52, 36]","[51, 37]","[51, 35]","['Links/Photos_02Aug2018_67', [25, 18]]",[],"['Links/Photos_20AUG2018_33', '[51, 36]']","['Links/Photos_01JUN2018_33', '[51, 36]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 37]","[39.6428244, -82.8180438]",[],"[50, 37]","[52, 37]","[51, 38]","[51, 36]","['Links/Photos_02Aug2018_67', [25, 18]]",[],"['Links/Photos_20AUG2018_33', '[51, 37]']","['Links/Photos_01JUN2018_33', '[51, 37]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 38]","[39.6428244, -82.818148]",[],"[50, 38]","[52, 38]","[51, 39]","[51, 37]","['Links/Photos_02Aug2018_67', [25, 19]]",[],"['Links/Photos_20AUG2018_33', '[51, 38]']","['Links/Photos_01JUN2018_33', '[51, 38]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 39]","[39.6428244, -82.8182522]",[],"[50, 39]","[52, 39]","[51, 40]","[51, 38]","['Links/Photos_02Aug2018_67', [25, 19]]",[],"['Links/Photos_20AUG2018_33', '[51, 39]']","['Links/Photos_01JUN2018_33', '[51, 39]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 40]","[39.6428244, -82.8183563]",[],"[50, 40]","[52, 40]","[51, 41]","[51, 39]","['Links/Photos_02Aug2018_67', [25, 20]]",[],"['Links/Photos_20AUG2018_33', '[51, 40]']","['Links/Photos_01JUN2018_33', '[51, 40]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 41]","[39.6428244, -82.8184605]",[],"[50, 41]","[52, 41]","[51, 42]","[51, 40]","['Links/Photos_02Aug2018_67', [25, 20]]",[],"['Links/Photos_20AUG2018_33', '[51, 41]']","['Links/Photos_01JUN2018_33', '[51, 41]']",[Utility=NaN],"[-1, -1, -1, -1]"
