height,grid position,latlon,pic,north neighbor,south neighbor,east neighbor,west neighbor,up neighbor,down neighbor,future neighbor,past neighbor,"[corn=1, Utility=NaN]","[-1, -1, -1, -1]"
33,"[0, 20]","[39.6482787, -82.8162729]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_2/DJI_0023.JPG,[],"[1, 20]","[0, 21]","[0, 19]","['Links/Photos_01JUN2018_67', [0, 10]]",[],"['Links/Photos_02Aug2018_33', '[0, 20]']",[],"[Latitude=39.6480651944, Longitude=-82.8162726667, BrightnessTotal=0.943347461251, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.937684653288, SaturationTotalGreen=0.95303076491, SaturationTotalBlue=0.860844656352, time=0.571180555556, corn=1, Utility=0.6535315466886381]","[-1, -1, '0.6499081159607234', -1]"
33,"[0, 21]","[39.6482787, -82.8163771]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_2/DJI_0024.JPG,[],"[1, 21]","[0, 22]","[0, 20]","['Links/Photos_01JUN2018_67', [0, 10]]",[],"['Links/Photos_02Aug2018_33', '[0, 21]']",[],"[Latitude=39.6480654167, Longitude=-82.8163776944, BrightnessTotal=0.928124720745, exposureTime=0.008103, xResolution=640, yResolution=480, SaturationTotalRed=0.942843852124, SaturationTotalGreen=0.931240030127, SaturationTotalBlue=0.839614162071, time=0.571261574074, corn=1, Utility=0.6499081159607234]","[-1, -1, '0.6541459831372766', '0.6535315466886381']"
33,"[0, 22]","[39.6482787, -82.8164813]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_2/DJI_0025.JPG,[],"[1, 22]","[0, 23]","[0, 21]","['Links/Photos_01JUN2018_67', [0, 11]]",[],"['Links/Photos_02Aug2018_33', '[0, 22]']",[],"[Latitude=39.6480643333, Longitude=-82.8164810278, BrightnessTotal=0.942724482176, exposureTime=0.00828, xResolution=640, yResolution=480, SaturationTotalRed=0.957754838133, SaturationTotalGreen=0.944369944853, SaturationTotalBlue=0.869447189032, time=0.571365740741, corn=1, Utility=0.6541459831372766]","[-1, -1, '0.656672917921149', '0.6499081159607234']"
33,"[0, 23]","[39.6482787, -82.8165855]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_2/DJI_0026.JPG,[],"[1, 23]","[0, 24]","[0, 22]","['Links/Photos_01JUN2018_67', [0, 11]]",[],"['Links/Photos_02Aug2018_33', '[0, 23]']",[],"[Latitude=39.6480638333, Longitude=-82.8165848056, BrightnessTotal=0.951696034074, exposureTime=0.0086, xResolution=640, yResolution=480, SaturationTotalRed=0.966981400633, SaturationTotalGreen=0.952551981209, SaturationTotalBlue=0.886127272263, time=0.571446759259, corn=1, Utility=0.656672917921149]","[-1, -1, '0.6461064431162127', '0.6541459831372766']"
33,"[0, 24]","[39.6482787, -82.8166896]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_2/DJI_0027.JPG,[],"[1, 24]","[0, 25]","[0, 23]","['Links/Photos_01JUN2018_67', [0, 12]]",[],"['Links/Photos_02Aug2018_33', '[0, 24]']",[],"[Latitude=39.6480664167, Longitude=-82.816689, BrightnessTotal=0.911582644167, exposureTime=0.006851, xResolution=640, yResolution=480, SaturationTotalRed=0.935092741524, SaturationTotalGreen=0.910600375306, SaturationTotalBlue=0.83384740094, time=0.571539351852, corn=1, Utility=0.6461064431162127]","[-1, -1, '0.6590428713950213', '0.656672917921149']"
33,"[0, 25]","[39.6482787, -82.8167938]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_2/DJI_0028.JPG,[],"[1, 25]","[0, 26]","[0, 24]","['Links/Photos_01JUN2018_67', [0, 12]]",[],"['Links/Photos_02Aug2018_33', '[0, 25]']",[],"[Latitude=39.6480649167, Longitude=-82.8167933889, BrightnessTotal=0.960270228158, exposureTime=0.009954, xResolution=640, yResolution=480, SaturationTotalRed=0.953345013787, SaturationTotalGreen=0.966592562806, SaturationTotalBlue=0.919398105596, time=0.571631944444, corn=1, Utility=0.6590428713950213]","[-1, -1, '0.6461164869237872', '0.6461064431162127']"
33,"[0, 26]","[39.6482787, -82.816898]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_2/DJI_0029.JPG,[],"[1, 26]","[0, 27]","[0, 25]","['Links/Photos_01JUN2018_67', [0, 13]]",[],"['Links/Photos_02Aug2018_33', '[0, 26]']",[],"[Latitude=39.64806625, Longitude=-82.8168982222, BrightnessTotal=0.913735173464, exposureTime=0.007676, xResolution=640, yResolution=480, SaturationTotalRed=0.903479141136, SaturationTotalGreen=0.923293734681, SaturationTotalBlue=0.85001830576, time=0.571712962963, corn=1, Utility=0.6461164869237872]","[-1, -1, '0.6529438575237445', '0.6590428713950213']"
33,"[0, 27]","[39.6482787, -82.8170021]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_2/DJI_0030.JPG,[],"[1, 27]","[0, 28]","[0, 26]","['Links/Photos_01JUN2018_67', [0, 13]]",[],"['Links/Photos_02Aug2018_33', '[0, 27]']",[],"[Latitude=39.6480631667, Longitude=-82.8169994167, BrightnessTotal=0.939118347208, exposureTime=0.009481, xResolution=640, yResolution=480, SaturationTotalRed=0.955061976614, SaturationTotalGreen=0.940280267055, SaturationTotalBlue=0.867594477635, time=0.571805555556, corn=1, Utility=0.6529438575237445]","[-1, -1, '0.6549788618918723', '0.6461164869237872']"
33,"[0, 28]","[39.6482787, -82.8171063]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_2/DJI_0031.JPG,[],"[1, 28]","[0, 29]","[0, 27]","['Links/Photos_01JUN2018_67', [0, 14]]",[],"['Links/Photos_02Aug2018_33', '[0, 28]']",[],"[Latitude=39.6480638333, Longitude=-82.8171045833, BrightnessTotal=0.946645919605, exposureTime=0.008508, xResolution=640, yResolution=480, SaturationTotalRed=0.962688942504, SaturationTotalGreen=0.947352953942, SaturationTotalBlue=0.879755080678, time=0.571886574074, corn=1, Utility=0.6549788618918723]","[-1, -1, '0.6529459849832765', '0.6529438575237445']"
33,"[0, 29]","[39.6482787, -82.8172105]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_2/DJI_0032.JPG,[],"[1, 29]","[0, 30]","[0, 28]","['Links/Photos_01JUN2018_67', [0, 14]]",[],"['Links/Photos_02Aug2018_33', '[0, 29]']",[],"[Latitude=39.6480638611, Longitude=-82.8172069722, BrightnessTotal=0.93917438118, exposureTime=0.007511, xResolution=640, yResolution=480, SaturationTotalRed=0.959623200061, SaturationTotalGreen=0.938707005719, SaturationTotalBlue=0.867960631127, time=0.571979166667, corn=1, Utility=0.6529459849832765]","[-1, -1, '0.6621949924095745', '0.6549788618918723']"
33,"[0, 30]","[39.6482787, -82.8173146]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0032.JPG,[],"[1, 30]","[0, 31]","[0, 29]","['Links/Photos_01JUN2018_67', [0, 15]]",[],"['Links/Photos_02Aug2018_33', '[0, 30]']",[],"[Latitude=39.6482807222, Longitude=-82.8175231944, BrightnessTotal=0.856862751114, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.884323976205, SaturationTotalGreen=0.855586818321, SaturationTotalBlue=0.766129570057, time=0.535752314815, corn=1, Utility=0.6621949924095745]","[-1, '0.6530627890358298', -1, '0.6529459849832765']"
