height,grid position,latlon,pic,north neighbor,south neighbor,east neighbor,west neighbor,up neighbor,down neighbor,future neighbor,past neighbor,[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 13]","[39.6432522, -82.8155438]",[],"[46, 13]","[48, 13]","[47, 14]","[47, 12]","['Links/Photos_02Aug2018_67', [23, 6]]",[],"['Links/Photos_20AUG2018_33', '[47, 13]']","['Links/Photos_01JUN2018_33', '[47, 13]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 14]","[39.6432522, -82.8156479]",[],"[46, 14]","[48, 14]","[47, 15]","[47, 13]","['Links/Photos_02Aug2018_67', [23, 7]]",[],"['Links/Photos_20AUG2018_33', '[47, 14]']","['Links/Photos_01JUN2018_33', '[47, 14]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 15]","[39.6432522, -82.8157521]",[],"[46, 15]","[48, 15]","[47, 16]","[47, 14]","['Links/Photos_02Aug2018_67', [23, 7]]",[],"['Links/Photos_20AUG2018_33', '[47, 15]']","['Links/Photos_01JUN2018_33', '[47, 15]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 16]","[39.6432522, -82.8158563]",[],"[46, 16]","[48, 16]","[47, 17]","[47, 15]","['Links/Photos_02Aug2018_67', [23, 8]]",[],"['Links/Photos_20AUG2018_33', '[47, 16]']","['Links/Photos_01JUN2018_33', '[47, 16]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 17]","[39.6432522, -82.8159604]",[],"[46, 17]","[48, 17]","[47, 18]","[47, 16]","['Links/Photos_02Aug2018_67', [23, 8]]",[],"['Links/Photos_20AUG2018_33', '[47, 17]']","['Links/Photos_01JUN2018_33', '[47, 17]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 18]","[39.6432522, -82.8160646]",[],"[46, 18]","[48, 18]","[47, 19]","[47, 17]","['Links/Photos_02Aug2018_67', [23, 9]]",[],"['Links/Photos_20AUG2018_33', '[47, 18]']","['Links/Photos_01JUN2018_33', '[47, 18]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 19]","[39.6432522, -82.8161688]",[],"[46, 19]","[48, 19]","[47, 20]","[47, 18]","['Links/Photos_02Aug2018_67', [23, 9]]",[],"['Links/Photos_20AUG2018_33', '[47, 19]']","['Links/Photos_01JUN2018_33', '[47, 19]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 20]","[39.6432522, -82.8162729]",[],"[46, 20]","[48, 20]","[47, 21]","[47, 19]","['Links/Photos_02Aug2018_67', [23, 10]]",[],"['Links/Photos_20AUG2018_33', '[47, 20]']","['Links/Photos_01JUN2018_33', '[47, 20]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 21]","[39.6432522, -82.8163771]",[],"[46, 21]","[48, 21]","[47, 22]","[47, 20]","['Links/Photos_02Aug2018_67', [23, 10]]",[],"['Links/Photos_20AUG2018_33', '[47, 21]']","['Links/Photos_01JUN2018_33', '[47, 21]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 22]","[39.6432522, -82.8164813]",[],"[46, 22]","[48, 22]","[47, 23]","[47, 21]","['Links/Photos_02Aug2018_67', [23, 11]]",[],"['Links/Photos_20AUG2018_33', '[47, 22]']","['Links/Photos_01JUN2018_33', '[47, 22]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 23]","[39.6432522, -82.8165855]",[],"[46, 23]","[48, 23]","[47, 24]","[47, 22]","['Links/Photos_02Aug2018_67', [23, 11]]",[],"['Links/Photos_20AUG2018_33', '[47, 23]']","['Links/Photos_01JUN2018_33', '[47, 23]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 24]","[39.6432522, -82.8166896]",[],"[46, 24]","[48, 24]","[47, 25]","[47, 23]","['Links/Photos_02Aug2018_67', [23, 12]]",[],"['Links/Photos_20AUG2018_33', '[47, 24]']","['Links/Photos_01JUN2018_33', '[47, 24]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 25]","[39.6432522, -82.8167938]",[],"[46, 25]","[48, 25]","[47, 26]","[47, 24]","['Links/Photos_02Aug2018_67', [23, 12]]",[],"['Links/Photos_20AUG2018_33', '[47, 25]']","['Links/Photos_01JUN2018_33', '[47, 25]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 26]","[39.6432522, -82.816898]",[],"[46, 26]","[48, 26]","[47, 27]","[47, 25]","['Links/Photos_02Aug2018_67', [23, 13]]",[],"['Links/Photos_20AUG2018_33', '[47, 26]']","['Links/Photos_01JUN2018_33', '[47, 26]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 27]","[39.6432522, -82.8170021]",[],"[46, 27]","[48, 27]","[47, 28]","[47, 26]","['Links/Photos_02Aug2018_67', [23, 13]]",[],"['Links/Photos_20AUG2018_33', '[47, 27]']","['Links/Photos_01JUN2018_33', '[47, 27]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 28]","[39.6432522, -82.8171063]",[],"[46, 28]","[48, 28]","[47, 29]","[47, 27]","['Links/Photos_02Aug2018_67', [23, 14]]",[],"['Links/Photos_20AUG2018_33', '[47, 28]']","['Links/Photos_01JUN2018_33', '[47, 28]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 29]","[39.6432522, -82.8172105]",[],"[46, 29]","[48, 29]","[47, 30]","[47, 28]","['Links/Photos_02Aug2018_67', [23, 14]]",[],"['Links/Photos_20AUG2018_33', '[47, 29]']","['Links/Photos_01JUN2018_33', '[47, 29]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 30]","[39.6432522, -82.8173146]",[],"[46, 30]","[48, 30]","[47, 31]","[47, 29]","['Links/Photos_02Aug2018_67', [23, 15]]",[],"['Links/Photos_20AUG2018_33', '[47, 30]']","['Links/Photos_01JUN2018_33', '[47, 30]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 31]","[39.6432522, -82.8174188]",[],"[46, 31]","[48, 31]","[47, 32]","[47, 30]","['Links/Photos_02Aug2018_67', [23, 15]]",[],"['Links/Photos_20AUG2018_33', '[47, 31]']","['Links/Photos_01JUN2018_33', '[47, 31]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 32]","[39.6432522, -82.817523]",[],"[46, 32]","[48, 32]","[47, 33]","[47, 31]","['Links/Photos_02Aug2018_67', [23, 16]]",[],"['Links/Photos_20AUG2018_33', '[47, 32]']","['Links/Photos_01JUN2018_33', '[47, 32]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 33]","[39.6432522, -82.8176271]",[],"[46, 33]","[48, 33]","[47, 34]","[47, 32]","['Links/Photos_02Aug2018_67', [23, 16]]",[],"['Links/Photos_20AUG2018_33', '[47, 33]']","['Links/Photos_01JUN2018_33', '[47, 33]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 34]","[39.6432522, -82.8177313]",[],"[46, 34]","[48, 34]","[47, 35]","[47, 33]","['Links/Photos_02Aug2018_67', [23, 17]]",[],"['Links/Photos_20AUG2018_33', '[47, 34]']","['Links/Photos_01JUN2018_33', '[47, 34]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 35]","[39.6432522, -82.8178355]",[],"[46, 35]","[48, 35]","[47, 36]","[47, 34]","['Links/Photos_02Aug2018_67', [23, 17]]",[],"['Links/Photos_20AUG2018_33', '[47, 35]']","['Links/Photos_01JUN2018_33', '[47, 35]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 36]","[39.6432522, -82.8179397]",[],"[46, 36]","[48, 36]","[47, 37]","[47, 35]","['Links/Photos_02Aug2018_67', [23, 18]]",[],"['Links/Photos_20AUG2018_33', '[47, 36]']","['Links/Photos_01JUN2018_33', '[47, 36]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 37]","[39.6432522, -82.8180438]",[],"[46, 37]","[48, 37]","[47, 38]","[47, 36]","['Links/Photos_02Aug2018_67', [23, 18]]",[],"['Links/Photos_20AUG2018_33', '[47, 37]']","['Links/Photos_01JUN2018_33', '[47, 37]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 38]","[39.6432522, -82.818148]",[],"[46, 38]","[48, 38]","[47, 39]","[47, 37]","['Links/Photos_02Aug2018_67', [23, 19]]",[],"['Links/Photos_20AUG2018_33', '[47, 38]']","['Links/Photos_01JUN2018_33', '[47, 38]']",[Utility=NaN],"[-1, -1, -1, -1]"
